sample	unit	library	flowcell	platform	lane	sample_id	barcode	fq1	fq2	kb1	kb2
25N05009	2	histDNAredo	2353MHLT4	ILLUMINA	8	25N05009	25N05009-histDNAredo-2	data/ROFI007_hDNAredo_Novoseq_02122026/01.RawData/B_25N05009/B_25N05009_WKDL260001354-1A_2353MHLT4_L8_1.fq.gz	data/ROFI007_hDNAredo_Novoseq_02122026/01.RawData/B_25N05009/B_25N05009_WKDL260001354-1A_2353MHLT4_L8_2.fq.gz	2856073.188	2301526.532
25N05009	1	histDNAredo	2353MHLT4	ILLUMINA	8	25N05009	25N05009-histDNAredo-1	data/ROFI007_hDNAredo_Novoseq_02122026/01.RawData/R_25N05009/R_25N05009_WKDL260001354-1A_2353MHLT4_L8_1.fq.gz	data/ROFI007_hDNAredo_Novoseq_02122026/01.RawData/R_25N05009/R_25N05009_WKDL260001354-1A_2353MHLT4_L8_2.fq.gz	2909424.535	2325082.85
25N05012	2	histDNAredo	2353MHLT4	ILLUMINA	8	25N05012	25N05012-histDNAredo-2	data/ROFI007_hDNAredo_Novoseq_02122026/01.RawData/B_25N05012/B_25N05012_WKDL260001354-1A_2353MHLT4_L8_1.fq.gz	data/ROFI007_hDNAredo_Novoseq_02122026/01.RawData/B_25N05012/B_25N05012_WKDL260001354-1A_2353MHLT4_L8_2.fq.gz	2905214.398	2378919.804
25N05012	1	histDNAredo	2353MHLT4	ILLUMINA	8	25N05012	25N05012-histDNAredo-1	data/ROFI007_hDNAredo_Novoseq_02122026/01.RawData/R_25N05012/R_25N05012_WKDL260001354-1A_2353MHLT4_L8_1.fq.gz	data/ROFI007_hDNAredo_Novoseq_02122026/01.RawData/R_25N05012/R_25N05012_WKDL260001354-1A_2353MHLT4_L8_2.fq.gz	2639083.54	2125453.376
25N05013	2	histDNAredo	2353MHLT4	ILLUMINA	8	25N05013	25N05013-histDNAredo-2	data/ROFI007_hDNAredo_Novoseq_02122026/01.RawData/B_25N05013/B_25N05013_WKDL260001354-1A_2353MHLT4_L8_1.fq.gz	data/ROFI007_hDNAredo_Novoseq_02122026/01.RawData/B_25N05013/B_25N05013_WKDL260001354-1A_2353MHLT4_L8_2.fq.gz	2534935.635	2070319.753
25N05013	1	histDNAredo	2353MHLT4	ILLUMINA	8	25N05013	25N05013-histDNAredo-1	data/ROFI007_hDNAredo_Novoseq_02122026/01.RawData/R_25N05013/R_25N05013_WKDL260001354-1A_2353MHLT4_L8_1.fq.gz	data/ROFI007_hDNAredo_Novoseq_02122026/01.RawData/R_25N05013/R_25N05013_WKDL260001354-1A_2353MHLT4_L8_2.fq.gz	2723763.741	2237576.56
25N05014	2	histDNAredo	2353MHLT4	ILLUMINA	8	25N05014	25N05014-histDNAredo-2	data/ROFI007_hDNAredo_Novoseq_02122026/01.RawData/B_25N05014/B_25N05014_WKDL260001354-1A_2353MHLT4_L8_1.fq.gz	data/ROFI007_hDNAredo_Novoseq_02122026/01.RawData/B_25N05014/B_25N05014_WKDL260001354-1A_2353MHLT4_L8_2.fq.gz	2694726.933	2242300.417
25N05014	1	histDNAredo	2353MHLT4	ILLUMINA	8	25N05014	25N05014-histDNAredo-1	data/ROFI007_hDNAredo_Novoseq_02122026/01.RawData/R_25N05014/R_25N05014_WKDL260001354-1A_2353MHLT4_L8_1.fq.gz	data/ROFI007_hDNAredo_Novoseq_02122026/01.RawData/R_25N05014/R_25N05014_WKDL260001354-1A_2353MHLT4_L8_2.fq.gz	2536740.196	2084062.205
25N05015	2	histDNAredo	2353MHLT4	ILLUMINA	8	25N05015	25N05015-histDNAredo-2	data/ROFI007_hDNAredo_Novoseq_02122026/01.RawData/B_25N05015/B_25N05015_WKDL260001354-1A_2353MHLT4_L8_1.fq.gz	data/ROFI007_hDNAredo_Novoseq_02122026/01.RawData/B_25N05015/B_25N05015_WKDL260001354-1A_2353MHLT4_L8_2.fq.gz	3309590.729	2716330.872
25N05015	1	histDNAredo	2353MHLT4	ILLUMINA	8	25N05015	25N05015-histDNAredo-1	data/ROFI007_hDNAredo_Novoseq_02122026/01.RawData/R_25N05015/R_25N05015_WKDL260001354-1A_2353MHLT4_L8_1.fq.gz	data/ROFI007_hDNAredo_Novoseq_02122026/01.RawData/R_25N05015/R_25N05015_WKDL260001354-1A_2353MHLT4_L8_2.fq.gz	4371134.467	3564776.099
25N05016	2	histDNAredo	2353MHLT4	ILLUMINA	8	25N05016	25N05016-histDNAredo-2	data/ROFI007_hDNAredo_Novoseq_02122026/01.RawData/B_25N05016/B_25N05016_WKDL260001354-1A_2353MHLT4_L8_1.fq.gz	data/ROFI007_hDNAredo_Novoseq_02122026/01.RawData/B_25N05016/B_25N05016_WKDL260001354-1A_2353MHLT4_L8_2.fq.gz	3348771.622	2681478.344
25N05016	1	histDNAredo	2353MHLT4	ILLUMINA	8	25N05016	25N05016-histDNAredo-1	data/ROFI007_hDNAredo_Novoseq_02122026/01.RawData/R_25N05016/R_25N05016_WKDL260001354-1A_2353MHLT4_L8_1.fq.gz	data/ROFI007_hDNAredo_Novoseq_02122026/01.RawData/R_25N05016/R_25N05016_WKDL260001354-1A_2353MHLT4_L8_2.fq.gz	2505213.295	2071666.998
25N05018	2	histDNAredo	2353MHLT4	ILLUMINA	8	25N05018	25N05018-histDNAredo-2	data/ROFI007_hDNAredo_Novoseq_02122026/01.RawData/B_25N05018/B_25N05018_WKDL260001354-1A_2353MHLT4_L8_1.fq.gz	data/ROFI007_hDNAredo_Novoseq_02122026/01.RawData/B_25N05018/B_25N05018_WKDL260001354-1A_2353MHLT4_L8_2.fq.gz	3179570.572	2533810.657
